,w,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
1,28,116,95,46,162,188,16,72,2,170,181,95,75,44,161,182,36,64,199,40,36,165,187,192,60,6,165,124,51,89,153
2,40,160,78,136,133,4,4,104,191,25,95,49,173,199,81,34,75,113,85,90,192,71,73,3,98,4,11,185,37,36,67
3,50,182,24,40,17,111,136,75,141,1,32,89,19,174,18,164,200,97,143,60,52,116,185,11,80,106,77,35,42,81,21
4,33,124,106,68,86,157,183,14,17,96,111,73,198,162,30,108,184,176,45,193,99,179,71,43,182,103,148,154,102,58,183
5,2,60,48,159,186,96,70,93,15,39,33,179,152,159,16,122,23,135,89,136,182,35,130,29,153,163,36,48,77,109,70
6,12,134,129,153,107,146,59,188,129,100,56,52,151,140,11,44,44,72,171,119,187,187,14,26,160,144,140,160,13,68,136
7,45,1,31,96,5,84,135,30,177,152,87,117,166,37,67,61,13,121,157,116,83,180,17,141,70,100,17,8,105,194,27
8,37,179,75,152,167,138,19,65,124,157,129,59,42,145,159,144,71,132,123,139,44,148,85,75,190,65,139,56,107,61,159
9,27,178,60,62,77,142,150,82,54,67,72,84,13,96,10,126,64,13,200,133,141,42,27,189,140,3,178,63,13,126,178
10,14,131,189,63,106,12,162,55,71,138,17,26,153,133,138,195,130,95,159,107,73,53,44,34,190,132,120,137,58,21,64
11,16,11,108,180,49,31,19,31,118,44,79,73,6,15,185,142,166,146,167,159,118,110,34,103,1,85,149,69,58,112,74
12,37,1,180,15,184,75,5,155,124,155,116,179,11,41,9,26,105,116,54,189,49,40,182,126,153,161,36,38,177,170,19
13,3,21,132,129,31,30,81,104,116,51,22,193,101,186,122,11,110,89,174,192,113,71,179,43,154,113,103,25,192,105,145
14,1,44,21,8,93,54,119,76,80,94,80,83,124,173,136,115,31,7,21,92,98,79,163,121,8,123,146,29,127,170,194
15,23,115,190,114,31,62,141,83,126,104,156,12,137,41,48,59,165,110,200,39,99,138,191,73,11,172,66,151,59,47,24
16,45,75,89,80,148,199,85,110,77,63,68,137,99,45,171,42,83,6,90,142,112,79,147,26,178,44,186,98,4,186,56
17,29,153,6,182,6,16,172,53,187,99,66,185,129,113,159,51,3,197,63,86,25,107,25,31,10,25,67,72,182,60,154
18,12,80,132,124,149,26,151,187,5,136,159,130,133,87,41,112,184,71,115,73,97,54,34,138,18,104,117,103,23,168,55
19,22,98,19,93,32,180,149,191,71,200,8,34,198,39,154,97,151,152,120,34,110,20,84,128,50,78,102,14,17,11,101
20,39,188,68,76,112,184,144,166,134,193,83,91,9,99,121,16,24,19,67,36,103,86,170,103,106,115,134,75,163,153,29
21,35,151,165,17,138,178,3,24,196,8,94,79,63,116,89,73,165,178,146,122,64,91,19,9,99,171,50,86,132,90,93
22,23,18,194,112,2,129,96,74,135,164,134,109,108,132,115,159,109,174,42,140,127,114,8,61,28,110,113,6,47,72,147
23,35,48,129,81,188,153,196,106,30,74,173,126,158,183,192,82,194,183,97,53,196,135,59,82,149,150,73,173,138,5,45
24,1,11,79,45,18,148,84,181,14,123,200,172,173,128,58,9,20,25,85,166,49,115,70,120,28,147,78,38,30,114,99
25,40,18,185,108,92,44,76,17,48,11,51,2,165,118,126,104,184,158,195,127,112,181,70,154,123,166,51,25,158,146,122
26,32,6,7,118,169,45,20,139,159,44,191,3,41,23,185,112,68,9,56,67,59,181,188,2,121,122,106,60,144,29,128
27,22,27,194,155,172,34,90,98,129,179,131,94,165,184,163,7,152,100,157,199,129,164,85,28,132,199,142,127,105,87,108
28,19,107,64,42,187,22,183,194,167,121,137,23,184,99,1,9,40,61,4,162,172,142,98,121,30,185,143,170,171,121,183
29,42,1,86,50,170,152,132,181,148,137,40,32,27,41,99,192,187,156,111,129,55,199,39,199,164,5,163,198,83,176,186
30,22,40,182,52,27,58,147,65,100,133,159,35,152,20,95,178,41,101,62,138,26,91,49,114,23,72,193,73,84,109,46
